url,lead,source
https://www.nytimes.com/2018/01/30/opinion/sanctions-russia-natural-gas.html,"Despite American sanctions against Russian natural gas producers, a cargo of liquefied natural gas that was most likely produced at Russia’s Yamal plant arrived in Boston this past weekend.",nyt
https://www.nytimes.com/2012/08/16/opinion/the-case-for-natural-gas-exports.html,"NEW data released last month signaled a milestone for American energy: natural gas joined coal as the top source of electric power. Gas production has boomed on the back of abundant supplies. That has spurred debates over hydraulic fracturing, a method to extract gas from shale.",nyt
https://www.nytimes.com/2014/06/04/business/energy-environment/the-potential-downside-of-natural-gas.html,"CONVENTIONAL wisdom, strongly promoted by the natural gas industry, is that natural gas drives down American emissions of carbon dioxide, by substituting for carbon-rich coal. The climate stabilization plan announced by the Obama administration on Monday relies on that. But in other ways, cheap natural gas drives emissions up.",nyt
https://www.nytimes.com/2009/10/21/business/global/21rencar.html,"MADRID — Developing countries around the world are increasingly turning to natural gas as their alternative transportation fuel of choice. But early official embrace of the technology in industrialized nations has mostly cooled, because risks inherent in mass deployment outweigh the benefits, especially in regard to climate change.",nyt
https://green.blogs.nytimes.com/2010/10/30/betting-big-on-natural-gas/,"Exxon Mobil is the biggest publicly traded company in the world, but its stock price has been lagging over the last year chiefly because a lot of people wonder why it’s making such a big bet on natural gas.",nyt
https://www.nytimes.com/2012/12/16/opinion/sunday/sending-natural-gas-abroad.html,A new and long-awaited report from the Department of Energy has concluded that the government should quickly begin easing restrictions on the export of natural gas to take advantage of the vast new discoveries of a fuel that only a decade ago was in relatively short supply in this country. ,nyt
https://www.nytimes.com/2014/03/07/opinion/natural-gas-as-a-diplomatic-tool.html,"In response to the crisis in Ukraine, some American lawmakers and energy companies are urging the United States to export natural gas to Europe in an effort to undercut Russia’s influence over the Continent. The Obama administration should move to increase exports, which would help allies like Germany, Turkey and Britain, but the effects of such exports would likely be modest and wouldn’t be realized for several years.",nyt
https://www.nytimes.com/2014/03/08/opinion/americas-natural-gas-lever.html,"STANFORD, Calif. — The news that the Obama administration wants to use America’s new natural gas abundance as a lever against Russia offers a chance to change a long-term dynamic in Europe, which allows an undemocratic petrostate to dictate terms to our closest allies. ",nyt
https://economix.blogs.nytimes.com/2013/03/22/another-look-at-natural-gas/,"After my column on Wednesday about how the nation’s natural gas boom is helping reduce emissions of heat-trapping carbon, I received a bunch of e-mail arguing that gas obtained by hydraulic fracturing could, on the contrary, worsen climate change.",nyt
https://www.nytimes.com/1990/08/08/business/and-there-s-always-natural-gas.html,"Natural gas, long regarded by oil producers as the crab grass of fossil fuels, is getting new consideration because of the crisis in the Middle East.",nyt
https://green.blogs.nytimes.com/2010/07/08/hurdles-for-a-natural-gas-transition/,"Natural gas might emerge as a “bridge” fuel in controlling carbon dioxide emissions, but switching over from coal would cost hundreds of billions of dollars — not even counting the cost of the gas, according to a study sponsored by the American Public Power Association.",nyt
https://www.nytimes.com/2012/04/20/opinion/clean-air-and-natural-gas.html,"The Obama administration’s new rules aimed at cutting harmful emissions from natural gas wells are a win for the environment, for the public and for industry. And despite what Republican politicians claim, the rules will not impose major new costs or slow what has been a remarkable boom in natural gas production. ",nyt
https://green.blogs.nytimes.com/2008/09/26/the-rise-of-natural-gas-populism/,"Watching Sunday Night Football last weekend, I was intrigued to see an ad featuring Aubrey K. McClendon, the head of Chesapeake Energy, the largest independent gas producer in the country, intoning on the virtues of natural gas-fired cars.",nyt
https://www.nytimes.com/2010/03/29/opinion/29mon3.html," The Environmental Protection Agency will soon begin a much-needed study of the effects on water quality and public health of a method of extracting natural gas called hydraulic fracturing. An E.P.A. investigation in 2004 was rightly seen as superficial and skewed toward industry, which provided much of the underlying data. This one must be comprehensive and transparent.",nyt
https://www.nytimes.com/2011/03/23/opinion/23wed2.html,"Interior Secretary Ken Salazar told a House subcommittee recently that a drilling technique known as hydraulic fracturing could be the “Achilles’ heel” that kills the natural gas industry. Like many others, Mr. Salazar sees natural gas, which America has in great abundance, as cleaner and more climate-friendly than coal or oil and a useful transition to alternative fuels. But he also fears, as we do, that public support for drilling will diminish unless the industry and its state and federal regulators do a better job of making sure the gas does no harm to drinking water. ",nyt
https://www.nytimes.com/2011/01/17/business/energy-environment/17views.html, ,nyt
https://dotearth.blogs.nytimes.com/2011/05/25/tornadoes-and-natural-gas-in-the-greenhouse/,"May 26, 12:28 p.m. | Updated I’m in the middle of a two-day faculty meeting on innovation in university education (with great talks on borderless learning by Gardner Campbell of Virginia Tech and Tamar Lewin of The Times). But I wanted to note some fresh coverage of a couple of issues explored here recently — the climate implications of expanded drilling for natural gas and the relationship, if any, of tornadoes to human-driven climate change.Tornadoes and warming",nyt
https://www.nytimes.com/slideshow/2012/10/21/business/energy-environment/21glut-ss.html,"Many natural gas exploration companies and their investors are losing money as prices plunge, after a boom in drilling brought on a glut.",nyt
https://www.nytimes.com/2013/03/31/magazine/its-a-natural-gas-gas-gas.html,"I’m a biologist with a federal agency. My family owns land in northeast Pennsylvania. A portion is owned outright by my mother, who has entered into a contract with a natural-gas company to allow drilling on the property. Royalties from the gas extraction allow her to live comfortably in retirement. My mother made the arrangements for the gas drilling without my support. I’m not in favor of increasing fossil-fuel dependence. In light of the anticipated royalties, my mother was advised by her lawyer to establish a corporate partnership with my brother and me, for liability protection. This would mean a portion of the royalties will be mine. If I intend to work on any future climate-change projects professionally, should I decline the partnership with my mother? If I do not support natural-gas drilling, is that another reason to decline the partnership? And is this decision different from eventually inheriting money related to drilling? RICHARD, WASHINGTON",nyt
https://www.nytimes.com/1981/05/16/business/issue-and-debate-deregulation-of-natural-gas.html,"President Reagan's January order lifting the remaining controls on crude oil, gasoline and propane left natural gas as the only energy source still subject to Federal price jurisdiction.",nyt
https://www.nytimes.com/2011/06/29/us/politics/29naturalgas.html,"WASHINGTON — Federal lawmakers called Tuesday on several agencies, including the federal Securities and Exchange Commission, the Energy Information Administration and the Government Accountability Office, to investigate whether the natural gas industry has provided an accurate picture to investors of the long-term profitability of their wells and the amount of gas these wells can produce.",nyt
https://www.nytimes.com/2011/03/22/business/global/22gas.html,"Natural gas may be having its day, as its rival energy sources come under a cloud.",nyt
https://www.nytimes.com/video/us/100000000650773/natgas.html,Garfield County is at the heart of Colorado's natural gas gold rush. Residents there complain of air quality problems.,nyt
https://www.nytimes.com/2008/04/10/business/worldbusiness/10fobriefs-NATURALGASPA_BRF.html,"Gazprom of Russia, the natural gas producer, and Eni of Italy are preparing to join forces to pipe natural gas from Libya across the Mediterranean to Southern Europe. The deal would enable Russia to increase Europe’s dependence on Gazprom, which is state controlled. Paolo Scaroni, left, chief executive of Eni, said the deal with Gazprom would involve “the swap of assets outside of Russia.” Russia already supplies more than a quarter of Western Europe’s energy needs. Some analysts said that if Gazprom succeeded in Libya and in Algeria, where it is competing for contracts, it could end up dominating the supply routes to Southern Europe. ",nyt
https://www.nytimes.com/2020/02/06/climate/trump-grand-staircase-monument.html,WASHINGTON — The Trump administration on Thursday finalized plans to allow mining and energy drilling on nearly a million acres of land in southern Utah that had once been protected as part of a major national monument.,nyt
https://www.nytimes.com/2008/08/25/business/25gas.html,"HOUSTON  American natural gas production is rising at a clip not seen in half a century, pushing down prices of the fuel and reversing conventional wisdom that domestic gas fields were in irreversible decline.",nyt
https://www.nytimes.com/1991/02/26/business/company-news-gm-in-plans-on-natural-gas.html,The General Motors Corporation and the Gas Research Institute said they would spend $39 million to develop trucks that run on cleaner-burning natural gas. The auto maker and the gas-company group said production could begin by the mid 1990's.,nyt
https://www.nytimes.com/1997/10/09/nyregion/new-jersey-daily-briefing-natural-gas-supported.html,"Electricity consumers would probably save $1 billion in the next two decades if the newly renovated Salem Nuclear Generating Station were retired and replaced with a plant powered by natural gas, according to a report released yesterday by the New Jersey Public Interest Research Group.",nyt
https://www.nytimes.com/2012/04/11/business/energy-environment/wider-availability-expands-uses-for-natural-gas.html,"AS horizontal drilling and the controversial extraction technique known as fracking have made domestically produced natural gas more available and sharply cheaper, that gas has been widely embraced by industry, electric utilities and trucking fleets. ",nyt
https://www.nytimes.com/2013/11/07/business/international/cyprus-in-plan-to-develop-a-natural-gas-industry.html,"LONDON — Cyprus, seeking to rebuild its economy after the collapse of its banking industry, will announce on Thursday an agreement with Total, the French oil giant, to develop a plant to liquefy natural gas, the Cypriot energy minister said.",nyt
https://www.nytimes.com/1995/07/26/business/new-natural-gas-partners.html,"The Shell OilCompany and the Tejas Gas Corporation said today that they had agreed to form an independently managed natural gas company. Terms were not disclosed. The new company, to be based here, would bring together the natural gas marketing activities of Shell, part of the Royal Dutch/Shell Group, and Tejas Gas, which together have natural gas sales of 3.7 billion cubic feet a day, the companies said. The company would operate as a limited partnership, governed by a board with two directors from Shell and two from Tejas Gas.",nyt
https://www.nytimes.com/1984/08/29/business/idaho-natural-gas.html,Intermountain Gas Industries and the Idaho Natural Gas Company said they had entered into a definitive agreement under which Idaho Natural Gas would begin a $32-a-share tender offer for all of Intermountain's common shares.,nyt
https://www.nytimes.com/2014/12/23/science/natural-gas-abundance-of-supply-and-debate-.html,"MEAD, Colo. — Natural gas is the Rorschach test of energy policy. Depending on one’s point of view, it can be either an essential tool for meeting the challenge of climate change or another dirty fossil fuel that will speed the planet down the path to calamitous warming.",nyt
https://www.nytimes.com/2011/06/27/us/27gas.html,"Energy companies have worked hard to promote the idea that natural gas is the fossil fuel of tomorrow, and they have found reliable allies among policy makers in Washington.",nyt
https://www.nytimes.com/2003/07/20/business/market-insight-assessing-the-price-surge-in-natural-gas.html,INVESTORS didn't pay much heed to Alan Greenspan's warning in 1996 about ''irrational exuberance.'' But many took action well in advance of his recent comments about prices for natural gas.,nyt
https://www.nytimes.com/1983/04/16/business/natural-gas-reserves.html,"The Shell Oil Company said today that it had completed a study that shows 52,000 billion cubic feet of additional natural gas would be added to United States reserves if ''old'' and other regulated categories of gas were deregulated. It said this was gas that would never be produced if the Natural Gas Policy Act, which now regulates United States gas sales, was not changed.",nyt
https://www.nytimes.com/1995/06/07/business/natural-gas-plant-venture.html,"The Williams Companies and the Piedmont Natural Gas Company plan to form a joint venture to build a $107 million liquefied natural gas plant in North Carolina. The venture, to be called the Pine Needle LNG Company, would be equally owned by Piedmont, based in Charlotte, N.C., and a subsidiary of Williams, the Transcontinental Gas Pipe Line Corporation, or Transco, based here.",nyt
https://green.blogs.nytimes.com/2011/02/01/natural-gas-its-not-easy-being-green/,"Natural gas has long enjoyed a clean-and-green reputation — at least in comparison with coal, its brethren fossil fuel and most immediate substitute in the electricity-generation game. And of course, T. Boone Pickens and others would like to see natural gas replace oil as the chief source for the nation’s transportation fuels. ",nyt
https://www.nytimes.com/1996/02/26/business/ford-move-on-natural-gas.html,"The Ford Motor Company is adding vehicles powered by natural gas to the fleet of cars and trucks driven by its employees while on the job. Helen Petrauskas, Ford's vice president for environmental and safety engineering, said 10 percent of the vehicles ordered for the company fleet this year would run on natural gas. The goal is to have 30 percent of the 4,000-vehicle fleet using natural gas by 1998. The program involves Ford Tauruses, Crown Victorias, F-Series pickups and Econoline vans. They will be used first in southeastern Michigan and Southern California.",nyt
https://dealbook.nytimes.com/2010/11/01/a-big-bet-on-exco-and-natural-gas/,4:55 p.m. | Updated Does the rich premium being offered to take Exco Resources private point to a recovery ahead for battered natural gas prices?,nyt
https://www.nytimes.com/interactive/2011/02/27/us/natural-gas-documents-1-intro.html,Review documents obtained by The Times through open records requests and by visiting various regional offices that oversee drilling in Pennsylvania.,nyt
https://green.blogs.nytimes.com/2012/02/10/natural-gas-vs-nuclear-power/,"When critics say nuclear power is risky, they often mean the risk of an accident. But people in the nuclear industry say that the bigger threat is natural gas. ",nyt
https://www.nytimes.com/2005/06/15/business/worldbusiness/a-growing-appetite-in-us-for-natural-gas.html,,nyt
https://www.nytimes.com/1989/10/13/business/finance-new-issues-consolidated-natural-gas.html,"The Consolidated Natural Gas Company of Pittsburgh yesterday priced $150 million in sinking fund debentures, due in 2019, through competitive bidding won by Drexel Burnham Lambert Inc.",nyt
